Price Period,Town,Super,Diesel,Kerosene
15th April 2022 to 14th May 2022,Mombasa,142.36,123.26,111.19
15th April 2022 to 14th May 2022,Kilifi,143.07,123.97,111.91
15th April 2022 to 14th May 2022,Likoni Mainland,142.72,123.61,111.55
15th April 2022 to 14th May 2022,Kwale,142.72,123.61,111.55
15th April 2022 to 14th May 2022,Malindi,143.28,124.17,112.11
15th April 2022 to 14th May 2022,Lungalunga,143.43,124.33,112.26
15th April 2022 to 14th May 2022,Voi,143.84,124.74,112.67
15th April 2022 to 14th May 2022,Taveta,145.25,126.14,114.08
15th April 2022 to 14th May 2022,Lamu,145.66,126.56,114.5
15th April 2022 to 14th May 2022,Hola,145.95,126.84,114.78
15th April 2022 to 14th May 2022,Mpeketoni,145.66,126.56,114.5
15th April 2022 to 14th May 2022,Minjila,144.63,125.52,113.46
15th April 2022 to 14th May 2022,Garsen,144.72,125.61,113.55
15th April 2022 to 14th May 2022,Samburu,142.66,123.56,111.5
15th April 2022 to 14th May 2022,Taru,142.84,123.74,111.68
15th April 2022 to 14th May 2022,Mwatate,144.18,125.07,113.01
15th April 2022 to 14th May 2022,Wundanji,144.34,125.24,113.18
15th April 2022 to 14th May 2022,Kaloleni,142.51,123.42,111.35
15th April 2022 to 14th May 2022,Marereni,143.94,124.84,112.77
15th April 2022 to 14th May 2022,Nairobi,144.62,125.5,113.44
15th April 2022 to 14th May 2022,Thika,144.62,125.51,113.44
15th April 2022 to 14th May 2022,Machakos,144.86,125.74,113.68
15th April 2022 to 14th May 2022,Kajiado,145.04,125.92,113.86
15th April 2022 to 14th May 2022,Makuyu,144.91,125.79,113.73
15th April 2022 to 14th May 2022,Muranga,145.14,126.02,113.96
15th April 2022 to 14th May 2022,Sagana,145.35,126.25,114.18
15th April 2022 to 14th May 2022,Embu,145.72,126.6,114.54
15th April 2022 to 14th May 2022,Kerugoya,145.64,126.53,114.47
15th April 2022 to 14th May 2022,Narok,146.0,126.9,114.83
15th April 2022 to 14th May 2022,Nyeri,145.99,126.87,114.81
15th April 2022 to 14th May 2022,Namanga,146.16,127.05,114.98
15th April 2022 to 14th May 2022,Kiganjo,145.96,126.84,114.78
15th April 2022 to 14th May 2022,Chuka,146.25,127.13,115.07
15th April 2022 to 14th May 2022,Kitui,146.15,127.04,114.97
15th April 2022 to 14th May 2022,Mwingi,146.53,127.43,115.36
15th April 2022 to 14th May 2022,Nanyuki,146.55,127.44,115.37
15th April 2022 to 14th May 2022,Nkubu,147.51,128.41,116.34
15th April 2022 to 14th May 2022,Mtito Andei,147.05,127.94,115.88
15th April 2022 to 14th May 2022,Meru,147.71,128.6,116.54
15th April 2022 to 14th May 2022,Isiolo,147.57,128.46,116.39
15th April 2022 to 14th May 2022,Maua,148.16,129.06,116.99
15th April 2022 to 14th May 2022,Garissa,148.79,129.67,117.61
15th April 2022 to 14th May 2022,Marsabit,152.47,133.35,121.29
